,min,avg
0,422.0,510.29
1,452.0,510.0
2,437.0,509.42
3,440.0,509.87
4,452.0,507.28
5,439.0,505.54
6,448.0,505.19
7,449.0,505.85
8,439.0,505.97
9,449.0,508.64
10,450.0,508.54
11,439.0,508.41
12,454.0,509.82
13,427.0,509.46
14,447.0,508.07
15,437.0,506.54
16,429.0,507.12
17,435.0,506.95
18,448.0,506.77
19,425.0,507.6
20,414.0,507.96
21,416.0,508.6
22,432.0,507.66
23,435.0,508.51
24,439.0,508.15
25,438.0,508.91
26,452.0,508.45
27,433.0,508.48
28,437.0,508.68
29,446.0,507.54
30,445.0,509.1
31,439.0,508.57
32,404.0,508.73
33,432.0,507.83
34,408.0,507.62
35,419.0,507.17
36,417.0,506.63
37,424.0,509.03
38,427.0,508.61
39,435.0,508.61
40,440.0,509.82
41,435.0,509.75
42,432.0,509.48
43,450.0,510.73
44,428.0,508.32
45,426.0,508.44
46,419.0,507.66
47,439.0,508.43
48,434.0,508.2
49,422.0,507.42
50,439.0,507.17
51,431.0,507.72
52,436.0,506.0
53,444.0,507.06
54,437.0,506.1
55,443.0,505.77
56,437.0,505.51
57,441.0,505.04
58,412.0,507.56
59,437.0,507.6
60,456.0,508.2
61,436.0,509.33
62,426.0,509.62
63,414.0,509.49
64,442.0,509.36
65,437.0,509.99
66,432.0,511.52
67,438.0,512.29
68,440.0,511.51
69,449.0,510.96
70,444.0,510.54
71,453.0,511.24
72,449.0,511.69
73,439.0,510.26
74,448.0,510.88
75,432.0,511.21
76,440.0,511.69
77,446.0,511.37
78,453.0,513.79
79,443.0,511.3
80,446.0,509.8
81,459.0,509.42
82,431.0,508.3
83,447.0,509.55
84,416.0,509.83
85,440.0,509.75
86,430.0,508.83
87,437.0,509.17
88,443.0,509.25
89,451.0,510.17
90,443.0,511.01
91,446.0,511.17
92,449.0,511.21
93,454.0,510.77
94,450.0,510.2
95,446.0,510.89
96,429.0,511.06
97,435.0,510.03
98,440.0,509.48
99,450.0,510.15
100,445.0,508.79
101,460.0,508.58
102,438.0,508.42
103,423.0,508.4
104,441.0,509.64
105,425.0,508.25
106,433.0,509.82
107,437.0,508.24
108,422.0,507.94
109,428.0,506.57
110,441.0,508.47
111,418.0,507.28
112,426.0,507.93
113,441.0,506.1
114,411.0,505.81
115,434.0,505.91
116,453.0,504.98
117,418.0,506.63
118,421.0,506.03
119,421.0,505.94
120,409.0,504.92
121,429.0,505.85
122,429.0,504.4
123,428.0,503.54
124,421.0,503.11
125,422.0,503.77
126,430.0,503.76
127,424.0,502.55
128,436.0,501.7
129,428.0,501.04
130,447.0,502.14
131,435.0,501.92
132,433.0,499.57
133,433.0,499.26
134,432.0,499.33
135,431.0,500.95
136,429.0,503.07
137,431.0,503.01
138,447.0,503.97
139,439.0,503.41
140,436.0,504.67
141,427.0,503.99
142,438.0,505.01
143,428.0,506.28
144,429.0,505.74
145,435.0,505.16
146,449.0,506.42
147,447.0,506.84
148,452.0,508.38
149,454.0,508.01
150,445.0,509.27
151,453.0,510.47
152,442.0,508.88
153,447.0,507.65
154,453.0,508.15
155,416.0,508.95
156,420.0,508.42
157,420.0,508.88
158,435.0,509.48
159,445.0,508.03
160,447.0,507.92
161,430.0,508.26
162,428.0,507.59
163,441.0,508.94
164,448.0,509.38
165,449.0,509.56
166,456.0,511.15
167,436.0,511.02
168,445.0,512.25
169,429.0,511.44
170,440.0,510.14
171,442.0,509.82
172,432.0,510.5
173,440.0,509.75
174,407.0,509.1
175,425.0,508.95
176,418.0,509.27
177,429.0,509.79
178,433.0,507.28
179,441.0,506.84
180,436.0,506.31
181,433.0,506.41
182,434.0,505.54
183,443.0,505.31
184,425.0,507.59
185,431.0,505.86
186,447.0,506.02
187,447.0,506.81
188,437.0,508.04
189,441.0,509.27
190,456.0,508.87
191,441.0,507.78
192,404.0,507.76
193,413.0,507.27
194,446.0,506.99
195,440.0,506.13
196,416.0,506.69
197,418.0,507.11
198,447.0,506.68
199,418.0,504.97
200,431.0,504.58
201,439.0,504.33
202,449.0,504.24
203,446.0,504.44
204,432.0,504.24
205,446.0,504.0
206,443.0,503.39
207,446.0,502.62
208,430.0,501.76
209,427.0,504.06
210,434.0,504.41
211,432.0,502.88
212,402.0,503.88
213,416.0,503.96
214,430.0,504.05
215,388.0,503.75
216,427.0,503.87
217,410.0,503.68
218,443.0,505.51
219,444.0,506.37
220,441.0,507.33
221,435.0,504.75
222,423.0,505.35
223,423.0,505.81
224,448.0,506.82
225,449.0,506.08
226,437.0,505.67
227,396.0,506.13
228,454.0,506.53
229,435.0,507.85
230,432.0,508.76
231,441.0,509.39
232,442.0,507.61
233,446.0,507.43
234,434.0,506.84
235,450.0,508.87
236,433.0,507.0
237,441.0,507.44
238,454.0,507.66
239,451.0,507.99
240,437.0,508.85
241,433.0,508.04
242,436.0,507.49
243,442.0,505.48
244,433.0,505.65
245,438.0,505.13
246,436.0,506.34
247,442.0,507.07
248,434.0,505.89
249,435.0,504.33
250,419.0,503.24
251,400.0,503.06
252,425.0,502.33
253,429.0,502.2
254,431.0,503.19
255,431.0,503.51
256,430.0,503.92
257,419.0,504.18
258,437.0,503.95
259,414.0,501.67
260,405.0,502.46
261,419.0,502.81
262,455.0,505.3
263,439.0,504.11
264,446.0,503.66
265,455.0,506.1
266,457.0,506.36
267,454.0,506.7
268,446.0,505.69
269,431.0,505.91
270,427.0,505.15
271,422.0,506.06
272,444.0,507.28
273,446.0,509.68
274,438.0,509.07
275,433.0,509.35
276,441.0,509.24
277,436.0,510.69
278,430.0,511.04
279,437.0,509.32
280,443.0,509.3
281,412.0,507.94
282,434.0,507.11
283,421.0,506.25
284,407.0,507.37
285,437.0,507.58
286,416.0,506.65
287,428.0,507.23
288,445.0,507.48
289,431.0,507.42
290,416.0,507.13
291,412.0,507.03
292,422.0,506.59
293,445.0,506.91
294,449.0,507.76
295,439.0,506.18
296,420.0,506.77
297,443.0,507.14
298,437.0,505.94
299,438.0,505.5
300,429.0,504.56
301,410.0,505.58
302,409.0,505.31
303,408.0,505.26
304,398.0,503.35
305,411.0,504.12
306,418.0,503.64
307,430.0,503.35
308,411.0,504.1
309,441.0,505.21
310,429.0,504.86
311,445.0,504.58
312,425.0,503.56
313,431.0,503.89
314,438.0,504.32
315,443.0,504.86
316,441.0,505.84
317,422.0,505.37
318,451.0,506.69
319,447.0,506.9
320,437.0,508.04
321,429.0,509.62
322,431.0,508.84
323,434.0,508.29
324,451.0,509.34
325,437.0,510.02
326,422.0,511.01
327,427.0,510.8
328,424.0,509.89
329,435.0,510.62
330,427.0,509.92
331,423.0,509.31
332,432.0,510.21
333,426.0,511.53
334,439.0,512.82
335,435.0,513.38
336,431.0,511.32
337,438.0,511.65
338,437.0,512.18
339,437.0,513.1
340,432.0,513.67
341,432.0,513.09
342,442.0,510.12
343,406.0,508.97
344,431.0,510.25
345,431.0,509.69
346,447.0,510.07
347,431.0,511.42
348,414.0,510.1
349,425.0,509.62
350,425.0,509.18
351,387.0,510.22
352,435.0,511.37
353,440.0,511.48
354,440.0,511.9
355,437.0,512.37
356,437.0,511.86
357,448.0,512.47
358,456.0,511.92
359,432.0,511.53
360,447.0,511.21
361,435.0,510.14
362,457.0,511.37
363,446.0,510.74
364,437.0,509.67
365,449.0,508.89
366,447.0,510.03
367,443.0,509.17
368,451.0,510.09
369,443.0,507.32
370,426.0,506.93
371,438.0,506.44
372,444.0,508.95
373,447.0,509.44
374,444.0,510.34
375,440.0,509.73
376,454.0,510.03
377,430.0,508.86
378,434.0,507.59
379,447.0,506.8
380,428.0,505.93
381,416.0,505.35
382,443.0,505.79
383,438.0,506.77
384,428.0,505.86
385,425.0,506.47
386,443.0,507.6
387,453.0,505.97
388,439.0,504.97
389,433.0,505.31
390,441.0,507.09
391,445.0,506.32
392,446.0,507.76
393,424.0,506.08
394,431.0,505.77
395,434.0,506.6
396,427.0,508.58
397,421.0,507.98
398,425.0,506.13
399,445.0,507.93
400,431.0,507.46
401,446.0,506.99
402,438.0,508.64
403,451.0,509.27
404,447.0,509.83
405,453.0,511.26
406,418.0,510.61
407,425.0,512.54
408,439.0,513.76
409,438.0,513.79
410,440.0,511.12
411,438.0,509.91
412,431.0,510.54
413,444.0,510.26
414,429.0,510.54
415,417.0,509.96
416,431.0,510.39
417,450.0,510.94
418,446.0,510.83
419,448.0,509.31
420,438.0,508.36
421,444.0,509.24
422,444.0,508.42
423,420.0,508.93
424,427.0,508.87
425,449.0,508.56
426,448.0,507.25
